Customer ID #,NO3-N (ppm),NH4-N (ppm)
1,12.9,1.53
2,7.5,1.48
3,5.3,1.34
4,3.9,1.12
5,4.3,1.33
6,7.5,1.24
7,6,1.35
8,8.6,1.4
9,11.1,1.45
10,4.2,1.34
11,3.3,1.25
12,BQL,1.56
13,BQL,1.63
14,5.6,1.33
15,4.2,1.26
16,5.6,1.21
17,8.9,1.51
18,4.4,1.53
19,27.8,1.99
20,7.8,1.46
21,2.4,1.02
22,8.3,1.33
23,4.1,1.35
24,1.8,1.1
25,BQL,1.46
26,BQL,1.68
27,4.7,1.31
28,6.6,1.39
29,2.4,1.04
30,2.7,1.15
31,5.8,1.28
32,6.7,1.36
33,7.1,1.36
34,1.9,1.31
35,2.9,1.49
36,3.6,1.39
37,3.3,1.49
38,BQL,1.55
39,0.8,0.9
40,3.2,1.32
41,4.9,1.24
42,8,1.56
43,5.9,1.34
44,7.7,1.48
45,8.6,1.43
46,9.4,1.57
47,7,1.39
48,6.6,1.45
49,5.1,1.42
50,BQL,1.57
51,8,1.51
52,5.3,1.11
53,5.5,1.37
54,9.8,1.38
55,9.3,1.21
56,2.1,1.35
57,3.7,1.32
58,3.7,1.35
59,5.1,1.46
60,2.5,1.26
61,1.4,1.29
62,BQL,1.57
63,2.8,1.34
64,0.2,1.36
65,7.6,1.38
66,8.3,1.39
67,3.2,1.37
68,4,1.4
69,1.3,0.74
70,5.5,1.39
71,3.4,1.26
72,8.1,1.18
73,0.2,1.37
74,BQL,1.53
75,6.6,1.53
76,5.2,1.48
77,3.4,1.34
78,3.5,2.55
79,8.9,1.6
80,4.1,1.37
81,6,1.44
82,9.1,1.42
83,5,1.57
84,0.4,1.16
85,3.5,1.39
86,0.3,1.53
87,4.8,1.34
88,BQL,1.09
89,4.5,1.47
90,2.6,1.4
91,3.4,1.58
92,2.5,1.45
93,4.1,1.46
94,5,1.5
95,5.8,1.56
96,6.1,1.42
97,6.2,1.43
98,1.3,1.56
99,7.2,1.4
100,4.4,1.4
101,3.9,1.65
102,3.2,1.44
103,7.6,1.59
104,3.5,1.41
105,5,1.37
106,1.2,1.48
107,3.1,1.46
108,1.7,1.5
109,BQL,1.29
110,BQL,1.54
111,1.6,1.36
112,1.5,1.38
113,2.1,1.37
114,1,1.11
115,1.7,1.37
116,2.1,1.79
117,0.6,1.84
118,3.6,2.25
119,0.1,1.63
120,0.4,1.82
121,BQL,1.54
122,0.7,1.37
123,6.8,2.23
124,0.2,1.68
125,4.6,1.84
126,0.6,1.6
127,BQL,3.37
128,BQL,1.76
129,BQL,1.92
130,BQL,1.59
131,BQL,1.67
132,BQL,2.13
133,1.2,1.43
134,BQL,1.7
135,0.3,1.23
136,1.2,1.51
137,1.2,1.41
138,0.5,1.22
139,0.6,1.49
140,0.1,1.49
141,0.5,1.47
142,BQL,1.58
143,BQL,1.8
