Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\11302022_COMPASS_Fe_analysis_tray2.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/30/22,,,,,,,,,,,,,
Time,4:14:14 PM,,,,,,,,,,,,,
Reader Type:,Synergy Neo2,,,,,,,,,,,,,
Reader Serial Number:,180521A,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 50 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.136,0.151,0.145,0.143,0.082,0.083,0.083,0.083,0.083,0.083,0.081,0.083,977 [Test]
,,0.087,0.087,0.084,0.083,0.081,0.083,0.084,0.084,0.084,0.084,0.083,0.083,900 [Ref]
,,0.273,0.356,0.341,0.335,0.008,-0.002,-0.004,-0.008,-0.007,-0.006,-0.013,0.001,Pathlength
,,2.447,0.166,0.548,0.393,0.088,0.091,0.09,0.089,0.09,0.09,0.09,0.09,562
,,8.951,0.468,1.607,1.174,11.34,-40.86,-20.205,-11.494,-13.455,-16.146,-7.075,162.36,Corrected [562]
,B,0.145,0.148,0.151,0.153,0.083,0.085,0.083,0.084,0.082,0.084,0.084,0.08,977 [Test]
,,0.086,0.089,0.089,0.094,0.083,0.086,0.084,0.084,0.082,0.084,0.084,0.082,900 [Ref]
,,0.331,0.329,0.346,0.328,0,-0.004,-0.004,-0.001,0.004,0.002,-0.002,-0.013,Pathlength
,,1.302,0.354,0.347,0.34,0.09,0.092,0.09,0.091,0.09,0.091,0.09,0.09,562
,,3.938,1.077,1.002,1.036,?????,-20.7,-23.194,-81.9,23.091,54.48,-53.88,-6.75,Corrected [562]
,C,0.137,0.149,0.164,0.151,0.082,0.081,0.083,0.082,0.083,0.083,0.084,0.083,977 [Test]
,,0.087,0.089,0.097,0.088,0.08,0.081,0.084,0.082,0.082,0.082,0.083,0.084,900 [Ref]
,,0.276,0.338,0.368,0.353,0.014,-0.003,-0.004,-0.001,0.009,0.007,0.002,-0.007,Pathlength
,,0.677,0.226,0.388,0.339,0.09,0.089,0.091,0.091,0.091,0.09,0.09,0.089,562
,,2.456,0.669,1.053,0.96,6.502,-26.82,-20.52,-81.72,9.614,13.53,40.41,-13.425,Corrected [562]
,D,0.139,0.15,0.151,0.157,0.082,0.079,0.084,0.082,0.083,0.084,0.084,0.084,977 [Test]
,,0.087,0.089,0.088,0.092,0.083,0.08,0.084,0.084,0.082,0.083,0.084,0.084,900 [Ref]
,,0.288,0.339,0.348,0.357,-0.006,-0.011,-0.001,-0.008,0.005,0.001,-0.002,-0.003,Pathlength
,,0.391,2.781,0.373,0.096,0.09,0.089,0.092,0.09,0.09,0.09,0.09,0.09,562
,,1.357,8.205,1.072,0.268,-16.218,-8.451,-83.16,-10.848,18.08,81.45,-40.455,-32.364,Corrected [562]
,E,0.134,0.148,0.151,0.084,0.083,0.079,0.082,0.083,0.084,0.084,0.084,0.084,977 [Test]
,,0.086,0.087,0.089,0.085,0.085,0.081,0.082,0.084,0.085,0.084,0.084,0.084,900 [Ref]
,,0.266,0.338,0.345,-0.004,-0.009,-0.011,0.001,-0.008,-0.004,-0.003,-0.003,-0.002,Pathlength
,,0.23,0.279,0.206,0.092,0.094,0.089,0.09,0.091,0.091,0.09,0.09,0.091,562
,,0.867,0.823,0.598,-20.61,-9.953,-8.019,81.36,-10.932,-23.477,-27.12,-27.06,-40.815,Corrected [562]
,F,0.132,0.151,0.151,0.082,0.083,0.092,0.08,0.08,0.084,0.085,0.084,0.082,977 [Test]
,,0.085,0.09,0.09,0.083,0.082,0.093,0.082,0.08,0.083,0.086,0.085,0.083,900 [Ref]
,,0.259,0.339,0.341,-0.009,0.005,-0.004,-0.009,0.003,0.001,-0.002,-0.004,-0.007,Pathlength
,,0.152,0.491,1.722,0.091,0.092,0.101,0.09,0.089,0.091,0.091,0.091,0.089,562
,,0.585,1.448,5.057,-10.26,18.4,-25.997,-10.091,32.22,82.35,-41.175,-23.349,-13.38,Corrected [562]
,G,0.135,0.15,0.15,0.083,0.079,0.082,0.082,0.082,0.082,0.083,0.083,0.083,977 [Test]
,,0.084,0.09,0.09,0.082,0.08,0.082,0.082,0.081,0.081,0.083,0.085,0.083,900 [Ref]
,,0.281,0.332,0.333,0.004,-0.007,0.002,0.002,0.004,0.008,0,-0.006,-0.001,Pathlength
,,0.156,0.321,2.799,0.092,0.089,0.09,0.091,0.09,0.09,0.09,0.089,0.09,562
,,0.556,0.965,8.396,20.655,-13.38,40.545,40.77,23.271,10.836,?????,-14.645,-162.36,Corrected [562]
,H,0.136,0.145,0.155,0.079,0.08,0.081,0.08,0.082,0.081,0.084,0.085,0.082,977 [Test]
,,0.085,0.088,0.094,0.08,0.081,0.083,0.081,0.082,0.083,0.085,0.085,0.082,900 [Ref]
,,0.287,0.316,0.341,-0.006,-0.004,-0.012,-0.004,0.001,-0.008,-0.005,0.002,0.004,Pathlength
,,0.087,0.789,0.265,0.09,0.089,0.091,0.09,0.09,0.09,0.09,0.089,0.089,562
,,0.302,2.5,0.778,-14.711,-20.07,-7.421,-23.246,161.28,-11.571,-17.98,40.23,19.98,Corrected [562]
