"sample_label","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_001","WLE","PTR","upland","1","A"
"COMPASS_Dec2021_002","WLE","PTR","upland","2","A"
"COMPASS_Dec2021_003","WLE","PTR","upland","3","A"
"COMPASS_Dec2021_004","WLE","PTR","upland","4","A"
"COMPASS_Dec2021_005","WLE","PTR","upland","5","A"
"COMPASS_Dec2021_006","WLE","PTR","upland","6","A"
"COMPASS_Dec2021_007","WLE","PTR","upland","7","A"
"COMPASS_Dec2021_008","WLE","PTR","upland","8","A"
"COMPASS_Dec2021_009","WLE","PTR","upland","9","A"
"COMPASS_Dec2021_010","WLE","PTR","transition","11","A"
"COMPASS_Dec2021_011","WLE","PTR","transition","12","A"
"COMPASS_Dec2021_012","WLE","PTR","transition","13","A"
"COMPASS_Dec2021_013","WLE","PTR","transition","14","A"
"COMPASS_Dec2021_014","WLE","PTR","transition","16","A"
"COMPASS_Dec2021_015","WLE","PTR","transition","17","A"
"COMPASS_Dec2021_016","WLE","PTR","transition","19","A"
"COMPASS_Dec2021_017","WLE","PTR","transition","20","A"
"COMPASS_Dec2021_018","WLE","PTR","transition","21","A"
"COMPASS_Dec2021_019","WLE","PTR","wc","L1","A"
"COMPASS_Dec2021_020","WLE","PTR","wc","L2","A"
"COMPASS_Dec2021_021","WLE","PTR","wc","L3","A"
"COMPASS_Dec2021_022","WLE","PTR","wc","L4","A"
"COMPASS_Dec2021_023","WLE","PTR","wc","L5","A"
"COMPASS_Dec2021_024","WLE","PTR","wc","L6","A"
"COMPASS_Dec2021_025","WLE","PTR","wc","L7","A"
"COMPASS_Dec2021_026","WLE","PTR","wc","L8","A"
"COMPASS_Dec2021_027","WLE","PTR","wc","L9","A"
"COMPASS_Dec2021_028","WLE","PTR","wc","C1","A"
"COMPASS_Dec2021_029","WLE","PTR","wc","C2","A"
"COMPASS_Dec2021_030","WLE","PTR","wc","C3","A"
"COMPASS_Dec2021_031","WLE","PTR","wc","Ph1","A"
"COMPASS_Dec2021_032","WLE","PTR","wc","Ph2","A"
"COMPASS_Dec2021_033","WLE","PTR","wc","Ph3","A"
"COMPASS_Dec2021_034","WLE","CRC","upland","201","A"
"COMPASS_Dec2021_035","WLE","CRC","upland","202","A"
"COMPASS_Dec2021_036","WLE","CRC","upland","203","A"
"COMPASS_Dec2021_037","WLE","CRC","upland","204","A"
"COMPASS_Dec2021_038","WLE","CRC","upland","205","A"
"COMPASS_Dec2021_039","WLE","CRC","upland","206","A"
"COMPASS_Dec2021_040","WLE","CRC","upland","207","A"
"COMPASS_Dec2021_041","WLE","CRC","upland","208","A"
"COMPASS_Dec2021_042","WLE","CRC","upland","209","A"
"COMPASS_Dec2021_043","WLE","CRC","transition","211","A"
"COMPASS_Dec2021_044","WLE","CRC","transition","212","A"
"COMPASS_Dec2021_045","WLE","CRC","transition","213","A"
"COMPASS_Dec2021_046","WLE","CRC","transition","214","A"
"COMPASS_Dec2021_047","WLE","CRC","transition","215","A"
"COMPASS_Dec2021_048","WLE","CRC","transition","216","A"
"COMPASS_Dec2021_049","WLE","CRC","transition","217","A"
"COMPASS_Dec2021_050","WLE","CRC","transition","218","A"
"COMPASS_Dec2021_051","WLE","CRC","transition","219","A"
"COMPASS_Dec2021_052","WLE","CRC","wc","W1","A"
"COMPASS_Dec2021_053","WLE","CRC","wc","W2","A"
"COMPASS_Dec2021_054","WLE","CRC","wc","W3","A"
"COMPASS_Dec2021_055","WLE","CRC","wc","W4","A"
"COMPASS_Dec2021_056","WLE","CRC","wc","W5","A"
"COMPASS_Dec2021_057","WLE","CRC","wc","W6","A"
"COMPASS_Dec2021_058","WLE","CRC","wc","W7","A"
"COMPASS_Dec2021_059","WLE","CRC","wc","W8","A"
"COMPASS_Dec2021_060","WLE","CRC","wc","W9","A"
"COMPASS_Dec2021_061","WLE","OWC","upland","101","A"
