File,Quartz,,Albite,,Microcline,,Muscovite,,Clinochlore,,Pyrite,,Halite,,Gypsum,,Rwp,Notes
001-t,56%,±0.4%,11%,±0.2%,7.30%,±0.3%,19%,±0.4%,7.10%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,5.90%,
1,63%,±0.3%,8.80%,±0.2%,7.20%,±0.3%,21%,±0.3%,0.00%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,5.50%,
2,61%,±0.4%,8.30%,±0.2%,8.00%,±0.3%,17%,±0.3%,5.40%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,6.30%,
004-t,52%,±0.4%,7.10%,±0.2%,6.80%,±0.3%,26%,±0.4%,8.20%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,5.60%,
007-t,52%,±0.4%,9.50%,±0.2%,6.80%,±0.3%,24%,±0.4%,8.00%,±0.3%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
008-t,45%,±0.6%,10%,±0.4%,3.60%,±0.5%,27%,±0.7%,14%,±0.6%,0.00%,±0.1%,0.00%,±0.1%,,,5.30%,
009-t,61%,±0.5%,14%,±0.3%,6.30%,±0.4%,19%,±0.5%,0.00%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,8.00%,
010-t,63%,±0.4%,12%,±0.3%,7.60%,±0.3%,17%,±0.4%,0.00%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,7.10%,
10,51%,±0.4%,9.80%,±0.3%,9.70%,±0.3%,30%,±0.4%,0.00%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
011-t,68%,±0.4%,9.90%,±0.2%,7.50%,±0.3%,9.80%,±0.4%,4.40%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,7.60%,
11,52%,±0.4%,7.80%,±0.3%,5.70%,±0.3%,25%,±0.4%,10%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,6.00%,
013-t,70%,±1.5%,6.30%,±0.7%,4.90%,±0.9%,18%,±1.4%,0.00%,±1.0%,0.00%,±0.2%,0.00%,±0.2%,,,13%,Large qtz preferred orientation
23,41%,±0.3%,7.50%,±0.3%,6.30%,±0.3%,33%,±0.4%,12%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.80%,
24,34%,±0.3%,5.10%,±0.3%,6.70%,±0.4%,40%,±0.5%,14%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
34,58%,±0.3%,9.00%,±0.2%,8.60%,±0.2%,18%,±0.3%,6.20%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.90%,
35,67%,±0.3%,10%,±0.2%,6.50%,±0.3%,17%,±0.3%,0.00%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,6.10%,
44,50%,±0.4%,7.30%,±0.2%,7.00%,±0.3%,26%,±0.4%,9.40%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.60%,
45,46%,±0.4%,8.00%,±0.3%,5.80%,±0.3%,30%,±0.4%,11%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.30%,
52,37%,±0.4%,5.20%,±0.3%,5.80%,±0.4%,38%,±0.5%,13%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
058-t,54%,±1.2%,10%,±0.9%,7.80%,±1.1%,14%,±1.3%,0.00%,±1.1%,0.00%,±0.2%,14%,±0.4%,,,13%,Large qtz preferred orientation
058-w,30%,±0.3%,16%,±0.3%,8.30%,±0.4%,26%,±0.5%,13%,±0.4%,2.40%,±0.1%,4.60%,±0.1%,,,5.60%,
58,37%,±0.3%,6.10%,±0.3%,7.70%,±0.3%,37%,±0.4%,12%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,5.90%,
61,63%,±0.4%,15%,±0.3%,7.20%,±0.3%,15%,±0.4%,0.00%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,8.50%,
62,55%,±0.5%,16%,±0.3%,14%,±0.4%,11%,±0.5%,2.80%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,12%,Feldspar preferred orientation?
70,58%,±0.4%,12%,±0.2%,11%,±0.3%,13%,±0.4%,5.90%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,7.00%,
71,64%,±0.3%,12%,±0.2%,7.80%,±0.2%,16%,±0.3%,0.00%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,6.70%,
72,60%,±0.4%,9.60%,±0.2%,7.20%,±0.3%,17%,±0.3%,6.30%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,6.10%,
73,59%,±0.4%,10%,±0.2%,6.70%,±0.2%,18%,±0.3%,6.40%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.80%,
74,58%,±0.4%,11%,±0.3%,6.20%,±0.3%,18%,±0.4%,7.30%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,6.80%,
75,58%,±0.4%,11%,±0.2%,4.90%,±0.3%,17%,±0.3%,8.20%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,6.00%,
76,64%,±0.4%,12%,±0.3%,8.90%,±0.3%,15%,±0.4%,0.00%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,7.50%,
77,57%,±0.4%,13%,±0.2%,7.70%,±0.3%,17%,±0.3%,5.40%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,6.30%,
78,56%,±0.4%,9.90%,±0.2%,6.70%,±0.3%,19%,±0.4%,7.60%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,5.90%,
79,58%,±0.4%,10%,±0.2%,6.90%,±0.2%,17%,±0.3%,7.80%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.80%,
80,58%,±0.4%,12%,±0.2%,7.60%,±0.3%,16%,±0.3%,6.50%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.90%,
88,56%,±0.3%,9.00%,±0.2%,5.70%,±0.2%,22%,±0.3%,8.00%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.60%,
89,55%,±0.4%,8.20%,±0.2%,6.90%,±0.3%,22%,±0.3%,8.10%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,5.60%,
97,55%,±0.4%,6.50%,±0.2%,6.40%,±0.3%,23%,±0.3%,8.80%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,6.00%,
107,62%,±0.4%,14%,±0.2%,8.40%,±0.3%,12%,±0.3%,3.40%,±0.3%,0.00%,±0.0%,0.00%,±0.0%,,,7.20%,
108,64%,±0.5%,14%,±0.3%,9.50%,±0.3%,7.10%,±0.4%,5.20%,±0.4%,0.00%,±0.1%,0.00%,±0.1%,,,10%,
112,54%,±0.4%,13%,±0.2%,6.80%,±0.3%,18%,±0.3%,8.20%,±0.3%,0.00%,±0.0%,0.00%,±0.1%,,,6.70%,
113,59%,±0.4%,11%,±0.2%,8.60%,±0.3%,17%,±0.4%,4.90%,±0.3%,0.00%,±0.1%,0.00%,±0.0%,,,7.00%,
129,82%,±0.8%,6.70%,±0.4%,1.30%,±0.4%,9.60%,±0.6%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,6.60%,
130,79%,±0.7%,6.90%,±0.3%,3.10%,±0.4%,11%,±0.6%,0.00%,±0.5%,0.00%,±0.1%,0.00%,±0.1%,,,5.70%,
139,60%,±3.9%,1.00%,±2.0%,0.00%,±2.7%,39%,±3.6%,0.00%,±3.0%,0.00%,±0.5%,0.00%,±0.5%,,,5.30%,
140,60%,±3.8%,0.00%,±2.6%,0.10%,±2.8%,40%,±3.5%,0.00%,±3.2%,0.00%,±0.6%,0.00%,±0.5%,,,4.00%,
